id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35389443,增广贤文,"《增广贤文》原名《昔时贤文》，亦称《古今贤文》。书名最早见之于明朝万历年间汤显祖的戏曲《牡丹亭》。自清朝后期以来，这部书就风靡全国，影响极大。《增广贤文》里的语句十分精辟，言语浅白，含义深刻，通俗易懂；形式上，大多两两相对，音韵和谐，朗朗上口，一经成诵，便经久难忘。《增广贤文》的内容相当广泛，涉及立身安命、为人处世、礼仪道德、风物典故、天文地理、自然规律等多方面，体现了儒、释、道等多种思想，蕴含着丰厚的人生智慧。本书还有很多句子体现了古人居安思危的忧患意识、知足知止的生存智慧、物极必反的辩证思维方法，这些对于今天的我们为人处世同样有疗效。
《增广贤文》的内容大部分直接来自先秦典籍、诸子言论、笔记小说、诗词曲赋等，博采众长，名句荟萃。《增广贤文》作为古人宝贵人生经验的总结，具有价值引领、方法指导、动力激发等多重功能，可以给人以中华优秀传统文化的积极人生力量。因此，这部书被人们视为处世金箴、做人指南。同时，《增广贤文》中的很多语句直面世事的复杂、人性的弱点，其对人性的深刻洞见，对世情的冷峻观察，对官场腐败等诸多问题的揭露与批判十分犀利。这也正是这部书的深刻所在。
本书分条细致，点评精当。三全本《增广贤文》细分为318条，逐条注释、翻译和点评。注释主要是探讨了这些格言警句的出处，有助于读者在原始语境中更好地理解原文。点评先用一句话概括原文大意，然后用精准的事例拓展原文的语意，同时从正反两面对原文进行多层次解读，以便启迪读者辩证地理解原文。这些都是市场上同类书籍所没有的。",https://dou.img.lithub.cc/book/35389443.jpg,2022-11-7,https://book.douban.com/subject/35389443/,8.2,,4,,,2025-04-02 22:12:55,2022 / 中华书局
4210774,青兮黄兮,"廿载诗人经世事，十万青黄；
十年记者道人情，一箭穿心。
本书收录了作者二十年来的随笔作品。全书共分十辑，内容包括：青兮黄兮；命运揉搓；婚姻与喜欢；跑成了一种性格；根在何处；吃啥都会饿；艺术一说；屁股决定脑袋；自己的看台碎嘴等。这些文章反映了作者二十年来的人生经历。",https://dou.img.lithub.cc/book/4210774.jpg,2009-11,https://book.douban.com/subject/4210774/,0,,3,,,2025-03-06 22:49:21,庞永力 / 2009 / 中国发展出版社
35546622,置身事内,"“在成功的经济体中，经济政策一定是务实的，不是意识形态化的。是具体的，不是抽象的。”
直面真问题、深究真逻辑的复旦大学经济学“毕业课”
☆ 连接抽象经济学理论与中国发展实际
在市场机制不完善的情况下，如何实现可行的动员与资源调配，推动经济增长？
在确保增长的过程中，如 何获得更多资源和时间去建设和完善市场经济？
☆ 结合学界前沿研究与一线调研经历
扼要论述+延伸阅读指引，满足弹性认知需求
生动解说光伏、面板等行业案例，清晰复盘宽窄巷子、华夏幸福等建设经验
☆ 微观机制+宏观现象 双重维度串联中国经济生活中中知识与现象的碎片
理解地方政府经济治理的决策与行动逻辑
解读城市化、房价、贫富差距、债务、国内外贸易生态等现象背后各种要素的联动
☆ 从热闹的政经新闻中看出门道，从枯燥的政府文件中觉察到机会。
“了解政府认为应该怎么办，比了解‘我’认为应该怎么办，重要得多。”
------------------------------------------------------------------------------------------------------
本书是是兰小欢多年教学、调研与研究内容的凝练，将经济学原理与中国经济发展的实践有机融合，以地方政府投融资为主线，深入浅出地论述了中国经济的发展，笔触简练客观，并广泛采纳了各领域学者的最新研究成果。全书分上下两篇。上篇解释微观机制，包括地方政府的基本事务、收支、土地融资和开发、投资和债务等；下篇解释这些微观行为与宏观现象的联系，包括城市化和工业化、房价、地区差异、债务风险、国内经济结构失衡、国际贸易冲突等。最后一章提炼和总结全书内容。

通过对中国政治经济体系的论述，作者简明地刻画了地方政府进行经济治理的基本方式，并指出，中国政府通过深度介入工业化和城市化的进程，在发展经济的同时逐步推动了市场机制的建立和完善，以一种有别于所谓发达国家经验的方式实现了经济奇迹。基于对改革历程与社会矛盾的回顾与分析，作者也在书中对当前推进的市场化改革与政府转型进行了解读，帮助读者增进对中国发展现实的把握。",https://dou.img.lithub.cc/book/35546622.jpg,2021-8,https://book.douban.com/subject/35546622/,9.1,,3,,,2025-03-06 22:48:41,兰小欢 / 2021 / 上海人民出版社
36725588,何以为父,"本书对父子关系进行了深刻而有力的描述。在养育孩子的过程中，父亲扮演着重要角色。父亲并不单单是帮母亲打打下手、做个替补那么简单。他是一个男人这个简单的事实和他所怀揣的父爱，将影响孩子一生。
美国杰出精神分析师迈克尔·J.戴蒙德超30年父子关系研究总结，真实而有爱的父子联结赋予彼此超越生命的力量。作者坚定地认为，父亲身份对儿子和父亲彼此的发展都至关重要。父亲会深刻地影响儿子，儿子也会影响父亲。父子关系的发展会跨越某些特定的发展里程碑。他提出了“足够好的父亲”这一概念——一个能够培养自己的情感、全身心投入孩子的内心世界、促进孩子成长的人。他写作本书的目的是希望帮助男性好好抚育自己的儿子。
本书贯穿整个生命周期的父子关系，描绘了父亲的成长阶段（从妻子怀孕开始）；追溯了父子关系，从儿子幼年时期的“监护人”阶段，到父亲允许儿子独立和成熟，引导儿子进入成年。而随着父亲的年老，父子相互再次走得更近。本书将为读者理解父子关系打下坚实的基础。
*美国加州研究型精神分析师孙平 倾情翻译；中国著名精神科医师曾奇峰 亲笔作序；何川 吴知力 谢大林 诚挚推荐。",https://dou.img.lithub.cc/book/36725588.jpg,2024-1-1,https://book.douban.com/subject/36725588/,7.9,,,也许以后在成为父亲这个角色前，真的应该考试才好~,成长,2025-03-06 19:57:19,迈克尔·J.戴蒙德（Michael J. Diamond） / 2024 / 机械工业出版社
36402139,致女儿书,"🪻独家授权|权威版本|精装珍藏|全新再版
🪻写给女儿的心里话，每一句都是真心话。
🪻写亲情，对中国式亲缘关系的深刻体认：
王朔自己与父母、女儿有裂缝的关系，一代人有一代人的问题，但是每代人也都有情感上共通的复杂和苦涩，读之很容易产生共感。“小的时候是怕他们，大一点开始烦他们，再后来是针尖对麦芒，见面就吵：再后来是瞧不上他们，躲着他们，一方面觉得对他们有责任应该对他们好一点但就是做不出来装都装不出来，再后来，一想起他们就心里难过。”
🪻自省、自我批判的“现代性”父亲：
他对女儿道歉，没有“上位者”的优越心态，视女儿为平等的个体。“如果说我对你怀有深情，那也不是白来的，你一生下来就开始给予，你给我带来的快乐是我过去费尽心机也不曾得到过的，我跟人说过，没想到生一个孩子这么好玩。相形之下，养你所花的金钱微不足道，所以咱们俩要有账，开始就是我欠你。”
------
王朔经典自传体长篇作品，收录《致女儿书》与《和我们的女儿谈话》。
王朔从自己爷爷奶奶的爸爸妈妈讲起，一直说到自己的爸爸妈妈，最后说到自己。每一句话都是掏心窝子的话，告诉女儿一些心路，并对自己的作为进行了反省。在这里，我们可以看到王朔作为一个父亲，与我们日常印象中的他不同的那一面。
这是很私人化的文本，甚至是被“当作遗书来写的”。他写到对离去的亲人的思念，对女儿不留余地的坦白，他心中对真正的温暖和尊重有一种极大渴望，裸露情感的程度在其他书中未曾见过。《致女儿书》证明王朔也可以很好地抒情，他的另一面柔软、浪漫。
------
“这是你出生的那一刻，你在宇宙洪流中受到我们的邀请，欣然下车，来到人间，我们这个家，投在我们怀中。”
“很感激你来做我女儿，在这个关头给我一个倾诉机会当我能信任的倾诉对象。”
“你是一面清澈的镜子，处处照出我的原形。和别人，我总能在瑕瑜互见中找到容身之地，望着你的眼睛，即便你满脸欢喜，我也感到无所不在的惭愧。”
“植物风一吹就繁殖了，人辛辛苦苦一年最多只能生一个孩子。孩子使人伤心，本来已经放下的，又要转身看，放得下自己，放不下孩子。又要做人。人还是挺美丽的，那样晶莹的质感，跑来跑去飘动的头发，突然嘴一撇滚落下来的泪珠。这么脆弱，美好，一下子就使人生充满了意义，就觉得死也不能解脱，特别特别绝望。”
“往前看，指日可待；往回看，风驰电掣。这是我对岁月的感受。少年和中年的分野是，人小树高，看似遥遥无期。”
“人生的意义止于人生，你不要悲切，有不做梦的，没有梦不醒的，你要这么看。”",https://dou.img.lithub.cc/book/36402139.jpg,2023-8,https://book.douban.com/subject/36402139/,7.3,,3,,,2025-03-03 20:40:48,王朔 / 2023 / 北京十月文艺出版社
35069423,你学的数学不可能这么好玩,"无论你喜不喜欢数学，都会在生活中跟与一次次狭路相逢。然而，学校里教的数学你要么用不着，要么毕业后就忘了。甚至，如果学的方法不对，你还会患上一种“数学恐惧症”。
德国著名的“谜题收集者”霍格尔·丹贝克从小就是奥数冠军，他在本书里展示了五花八门的数学技巧和计算思路。这些技巧来自日常生活，无论是速算、速记、打领带、切蛋糕、集足球贴纸，还是用圆规变魔术，它们都能锻炼脑力、缓解焦虑，让你再次爱上数学。书中不会有烦人的定理和枯燥的曲线，因为数学本是一场激动人心的冒险。",https://dou.img.lithub.cc/book/35069423.jpg,2020-5,https://book.douban.com/subject/35069423/,7.8,,4,为啥我当年数学总不及格之数学原来是假的，哈哈～,,2025-02-25 22:23:29,[德]霍格尔·丹贝克(Holger Dambeck) / 2020 / 天津科学技术出版社
35463459,Der Almanach von Naval Ravikant,"Reichtum und Glück werden nicht zufällig unter den Menschen verteilt. Jeder hat es selbst in der Hand, die Fähigkeiten zu erlernen, die nötig sind, um reich und glücklich zu werden. Doch wie sehen diese Fähigkeiten aus, was sind die dahinter liegenden Prinzipien und wie können wir all das erlernen?
Naval Ravikant ist Unternehmer, Philosoph und Investor. Er war einer der ersten Investoren bei weltweit agierenden Unternehmen wie Uber, Twitter oder Clubhouse und ist Co-Founder der Gründer-Plattform AngelList. Das vorliegende Buch ist eine exklusive Zusammenstellung der Weisheiten und Erfahrungen, die Naval in den letzten zehn Jahren gesammelt hat – es sind seine aufschlussreichsten Interviews und tiefgründigsten Gedanken. Hier lernen die Leser durch Navals Worte, wie sie ihren ganz individuellen Weg zu einem glücklicheren und wohlhabenderen Leben gehen können.
Dieses Buch wurde als Dienst an der Öffentlichkeit erstellt. Es wird zum kostenlosen Download als PDF und E-Book auf fbv-shop.de/navalmanach zur Verfügung gestellt. Naval verdient kein Geld mit diesem Buch. Naval bietet Essays, Podcasts und mehr auf Nav.al und ist auf Twitter @Naval.",https://dou.img.lithub.cc/book/35463459.jpg,2021-7,https://book.douban.com/subject/35463459/,0,,4,,,2023-03-16 20:29:22,Eric Jorgenson / 2021 / FinanzBuch Verlag
35015980,瓦尔登湖,"★ 仲泽译本，诗意译笔，古朴雅致，信实优美，还原梭罗其“神”
★ 收录新英格兰本土木刻版画艺术家托马斯·内森的近20幅经典黑白插图作品，再现梭罗心灵归处的万物风景
★ 全手工布脊精装典藏本，简约古雅，汉译梭罗文集的珍藏之选
★ 特别收录译者仲泽的导读长文，全面解析梭罗丰盈的多面人格
《瓦尔登湖》语语惊人、字字闪光、沁人心脾、动我衷肠。到了夜深人静、万籁无声之时，此书毫不晦涩、清澈见底，吟诵之下，不禁为之神往了。——徐迟
仅凭这一本书……梭罗就超过了我们所拥有的一切。——罗伯特•弗洛斯特
当我初读这本举世无双的书时，我幸福地感到，我对它的喜爱超过了任何诗歌。——苇岸
一部自然与人的心灵探索之作；一部自力更生过简单生活的指南；一本神圣的书。——梭罗研究专家哈丁
《瓦尔登湖》用澄澈的思想和文字告诉我们“物质极简、灵魂丰盈”的生活真谛。梭罗远离喧嚣，在瓦尔登诗意秀美的四季景色中，过着极简的生活，不断地思考如何生活才能离自己的心灵更近。他用文字树立了一根真实世界的标尺，让后世就知道，假相和幻景屡屡泛起的洪流到底多深。",https://dou.img.lithub.cc/book/35015980.jpg,2020-10,https://book.douban.com/subject/35015980/,8.4,,5,,,2023-01-29 20:10:40,[美] 亨利·戴维·梭罗  (Henry David Thoreau) / 2020 / 译林出版社
25862578,解忧杂货店,"现代人内心流失的东西，这家杂货店能帮你找回——
僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。
因男友身患绝症，年轻女孩静子在爱情与梦想间徘徊；克郎为了音乐梦想离家漂泊，却在现实中寸步难行；少年浩介面临家庭巨变，挣扎在亲情与未来的迷茫中……
他们将困惑写成信投进杂货店，随即奇妙的事情竟不断发生。
生命中的一次偶然交会，将如何演绎出截然不同的人生？
如今回顾写作过程，我发现自己始终在思考一个问题：站在人生的岔路口，人究竟应该怎么做？我希望读者能在掩卷时喃喃自语：我从未读过这样的小说。——东野圭吾",https://dou.img.lithub.cc/book/25862578.jpg,2014-5,https://book.douban.com/subject/25862578/,8.5,,3,,,2022-11-04 17:02:48,[日] 东野圭吾 / 2014 / 南海出版公司
3674537,明朝那些事儿（1-9）,《明朝那些事儿》讲述从1344年到1644年，明朝三百年间的历史。作品以史料为基础，以年代和具体人物为主线，运用小说的笔法，对明朝十七帝和其他王公权贵和小人物的命运进行全景展示，尤其对官场政治、战争、帝王心术着墨最多。作品也是一部明朝政治经济制度、人伦道德的演义。,https://dou.img.lithub.cc/book/3674537.jpg,2009-4,https://book.douban.com/subject/3674537/,9.2,,4,,,2022-11-04 16:59:34,当年明月 / 2009 / 中国海关出版社
